data;historico;entrada_saida;total;id_cat;id;data_alteracao;Ano;Mes
31/12/24;DIZIMOS;entrada;R$ 20;075a2190-bb91-4690-9373-06c084efb57b;5678bc78-9024-469d-adce-c0889607fd5f;07/01/25 14:59;2024;12
31/12/24;DIZIMOS;entrada;R$ 100,00;075a2190-bb91-4690-9373-06c084efb57b;c85cd6df-44a6-4708-8c35-a174ecf45761;07/01/25 15:00;2024;12
31/12/24;DIZIMOS;entrada;R$ 594,00;075a2190-bb91-4690-9373-06c084efb57b;6bc5d44e-0a09-4833-a7fe-5dcec1ee51af;07/01/25 15:00;2024;12
31/12/24;OFERTA HELOISA SANTOS;saida;R$ 525;a0a4d2f2-215e-429a-ab24-a5ac36086f36;56953055-ad7c-4c41-8162-6f6c4a64918a;07/01/25 14:57;2024;12
31/12/24;OFERTA ANEXO;entrada;R$ 50;d87be5eb-32fd-4756-a72e-9d6478a848a2;784e595b-3c67-4de0-8a40-ca4f0506f409;09/01/25 16:12;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;55416f5d-93b5-4800-8917-18022ccafa88;07/01/25 14:59;2024;12
30/12/24;DIZIMOS;entrada;R$ 50,00;075a2190-bb91-4690-9373-06c084efb57b;9c32a5ea-834e-44f6-8864-2f8864394043;07/01/25 14:58;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;73360180-ed12-42f8-8611-b151bb787cf4;06/01/25 16:15;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;58186371-8b9f-4254-93bf-cf42a7745d4f;06/01/25 16:11;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;bd5095ed-c520-4a01-a184-cfd0af958483;06/01/25 16:11;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;e0c7a97b-e124-4544-a08c-a60ce086ec0e;06/01/25 16:09;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;ff02c5be-01d6-49af-89c5-027181fb3707;06/01/25 15:46;2024;12
30/12/24;DIZIMOS;entrada;R$ 50;075a2190-bb91-4690-9373-06c084efb57b;9b149021-9b01-4343-9063-5d88d8e4b770;06/01/25 15:44;2024;12
30/12/24;DIZIMOS;entrada;R$ 20;075a2190-bb91-4690-9373-06c084efb57b;ea49ac39-46ab-4880-afa6-16370c18e678;07/01/25 14:58;2024;12
30/12/24;DIZIMOS;entrada;R$ 20;075a2190-bb91-4690-9373-06c084efb57b;844e50d7-16a5-4720-930c-c329d2cf4b57;07/01/25 14:58;2024;12
30/12/24;DIZIMOS;entrada;R$ 20,00;075a2190-bb91-4690-9373-06c084efb57b;9511bb63-9e36-4142-b8ff-2e6a2c129b86;06/01/25 16:14;2024;12
30/12/24;DIZIMOS;entrada;R$ 20;075a2190-bb91-4690-9373-06c084efb57b;f2675266-44ca-46a2-91eb-444b8f899715;06/01/25 16:14;2024;12
30/12/24;DIZIMOS;entrada;R$ 20,00;075a2190-bb91-4690-9373-06c084efb57b;761da213-98da-4571-b430-789aba1efaa8;06/01/25 16:13;2024;12
30/12/24;DIZIMOS;entrada;R$ 20;075a2190-bb91-4690-9373-06c084efb57b;c5d6f62c-3cab-4264-99ea-1759730c8bd4;06/01/25 16:11;2024;12
30/12/24;DIZIMOS;entrada;R$ 10,00;075a2190-bb91-4690-9373-06c084efb57b;74670510-27bd-49fd-9622-b47f73ab8e11;06/01/25 16:15;2024;12
